Date,Away Team,Away Score,Home Team,Home Score,Season,Notes,Day,Winner,Loser
14-07-2015,Minnesota Lynx,85,Connecticut Sun,79,2015,,Tuesday,Minnesota Lynx,Connecticut Sun
14-07-2015,Atlanta Dream,71,Phoenix Mercury,80,2015,,Tuesday,Phoenix Mercury,Atlanta Dream
15-07-2015,Washington Mystics,57,Chicago Sky,85,2015,,Wednesday,Chicago Sky,Washington Mystics
15-07-2015,Tulsa Shock,80,Indiana Fever,83,2015,,Wednesday,Indiana Fever,Tulsa Shock
15-07-2015,San Antonio Silver Stars,68,New York Liberty,84,2015,,Wednesday,New York Liberty,San Antonio Silver Stars
15-07-2015,Los Angeles Sparks,61,Seattle Storm,68,2015,,Wednesday,Seattle Storm,Los Angeles Sparks
16-07-2015,Atlanta Dream,76,Los Angeles Sparks,72,2015,,Thursday,Atlanta Dream,Los Angeles Sparks
16-07-2015,Connecticut Sun,57,New York Liberty,64,2015,,Thursday,New York Liberty,Connecticut Sun
17-07-2015,Chicago Sky,66,Minnesota Lynx,84,2015,,Friday,Minnesota Lynx,Chicago Sky
17-07-2015,Tulsa Shock,58,San Antonio Silver Stars,65,2015,,Friday,San Antonio Silver Stars,Tulsa Shock
17-07-2015,Indiana Fever,50,Washington Mystics,68,2015,,Friday,Washington Mystics,Indiana Fever
18-07-2015,New York Liberty,75,Phoenix Mercury,73,2015,,Saturday,New York Liberty,Phoenix Mercury
18-07-2015,Atlanta Dream,73,Seattle Storm,86,2015,,Saturday,Seattle Storm,Atlanta Dream
19-07-2015,San Antonio Silver Stars,82,Chicago Sky,93,2015,,Sunday,Chicago Sky,San Antonio Silver Stars
19-07-2015,Minnesota Lynx,79,Tulsa Shock,72,2015,,Sunday,Minnesota Lynx,Tulsa Shock
19-07-2015,Connecticut Sun,82,Washington Mystics,89,2015,,Sunday,Washington Mystics,Connecticut Sun
21-07-2015,Atlanta Dream,92,Chicago Sky,97,2015,,Tuesday,Chicago Sky,Atlanta Dream
21-07-2015,Phoenix Mercury,65,Los Angeles Sparks,70,2015,,Tuesday,Los Angeles Sparks,Phoenix Mercury
21-07-2015,Indiana Fever,62,San Antonio Silver Stars,80,2015,,Tuesday,San Antonio Silver Stars,Indiana Fever
21-07-2015,New York Liberty,81,Seattle Storm,77,2015,,Tuesday,New York Liberty,Seattle Storm
21-07-2015,Washington Mystics,76,Tulsa Shock,69,2015,,Tuesday,Washington Mystics,Tulsa Shock
22-07-2015,New York Liberty,59,Los Angeles Sparks,53,2015,,Wednesday,New York Liberty,Los Angeles Sparks
22-07-2015,Connecticut Sun,78,Minnesota Lynx,77,2015,,Wednesday,Connecticut Sun,Minnesota Lynx
28-07-2015,Indiana Fever,75,Connecticut Sun,73,2015,,Tuesday,Indiana Fever,Connecticut Sun
28-07-2015,Chicago Sky,87,Phoenix Mercury,89,2015,,Tuesday,Phoenix Mercury,Chicago Sky
29-07-2015,New York Liberty,72,Indiana Fever,84,2015,,Wednesday,Indiana Fever,New York Liberty
29-07-2015,Los Angeles Sparks,76,Minnesota Lynx,82,2015,,Wednesday,Minnesota Lynx,Los Angeles Sparks
29-07-2015,Atlanta Dream,85,San Antonio Silver Stars,102,2015,,Wednesday,Atlanta Dream,San Antonio Silver Stars
29-07-2015,Seattle Storm,74,Washington Mystics,87,2015,,Wednesday,Washington Mystics,Seattle Storm
30-07-2015,Phoenix Mercury,78,Tulsa Shock,66,2015,,Thursday,Phoenix Mercury,Tulsa Shock
31-07-2015,Los Angeles Sparks,88,Chicago Sky,77,2015,,Friday,Los Angeles Sparks,Chicago Sky
31-07-2015,Seattle Storm,66,Connecticut Sun,67,2015,,Friday,Connecticut Sun,Seattle Storm
31-07-2015,Atlanta Dream,70,Minnesota Lynx,86,2015,,Friday,Minnesota Lynx,Atlanta Dream
31-07-2015,Washington Mystics,88,San Antonio Silver Stars,53,2015,,Friday,Washington Mystics,San Antonio Silver Stars
01-08-2015,Minnesota Lynx,86,Tulsa Shock,80,2015,,Saturday,Minnesota Lynx,Tulsa Shock
02-08-2015,Phoenix Mercury,71,Atlanta Dream,68,2015,,Sunday,Phoenix Mercury,Atlanta Dream
02-08-2015,Washington Mystics,68,Chicago Sky,71,2015,,Sunday,Chicago Sky,Washington Mystics
02-08-2015,Connecticut Sun,70,Indiana Fever,83,2015,,Sunday,Indiana Fever,Connecticut Sun
02-08-2015,Seattle Storm,62,New York Liberty,78,2015,,Sunday,New York Liberty,Seattle Storm
02-08-2015,Los Angeles Sparks,80,San Antonio Silver Stars,78,2015,,Sunday,Los Angeles Sparks,San Antonio Silver Stars
04-08-2015,Indiana Fever,82,Chicago Sky,106,2015,,Tuesday,Indiana Fever,Chicago Sky
04-08-2015,San Antonio Silver Stars,51,Connecticut Sun,82,2015,,Tuesday,Connecticut Sun,San Antonio Silver Stars
04-08-2015,Minnesota Lynx,61,Los Angeles Sparks,83,2015,,Tuesday,Los Angeles Sparks,Minnesota Lynx
04-08-2015,Tulsa Shock,84,Phoenix Mercury,87,2015,,Tuesday,Phoenix Mercury,Tulsa Shock
05-08-2015,San Antonio Silver Stars,63,Washington Mystics,66,2015,,Wednesday,Washington Mystics,San Antonio Silver Stars
06-08-2015,Tulsa Shock,57,Los Angeles Sparks,84,2015,,Thursday,Los Angeles Sparks,Tulsa Shock
